Incident Number,Date of Incident,Application,Severity,Owner,Caused by Change,Incident Description,Timeline
INC2255072,09 Mar 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255073,08 Jul 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255074,02 Sep 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255075,23 Mar 2024,EU0- Europe B2B KIIDS site,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on EU0- Europe B2B KIIDS site due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of EU0- Europe B2B KIIDS site.'}","11:00 AM ET: Change in data source endpoints caused issues in EU0- Europe B2B KIIDS site.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255076,12 Sep 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255077,17 Aug 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255078,01 Mar 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255079,25 Dec 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255080,22 Oct 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255081,28 Nov 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255082,04 Oct 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255083,03 Mar 2024,EU0- Europe B2B KIIDS site,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on EU0- Europe B2B KIIDS site due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of EU0- Europe B2B KIIDS site.'}","11:00 AM ET: Change in data source endpoints caused issues in EU0- Europe B2B KIIDS site.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255084,09 Jan 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255085,15 Aug 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255086,05 Jan 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255087,10 Dec 2024,EU0- Europe B2B KIIDS site,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on EU0- Europe B2B KIIDS site due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of EU0- Europe B2B KIIDS site.'}","11:00 AM ET: Change in data source endpoints caused issues in EU0- Europe B2B KIIDS site.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255088,12 Jun 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255089,09 Oct 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255090,10 Apr 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255091,14 Sep 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255092,10 Feb 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255093,14 Mar 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255094,21 Aug 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255095,20 Sep 2024,GPX- Global Product Data,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on GPX- Global Product Data due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of GPX- Global Product Data.'}","11:00 AM ET: Change in data source endpoints caused issues in GPX- Global Product Data.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255096,10 Dec 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255097,21 Aug 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255098,01 Aug 2024,EU0- Europe B2B KIIDS site,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on EU0- Europe B2B KIIDS site due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of EU0- Europe B2B KIIDS site.'}","11:00 AM ET: Change in data source endpoints caused issues in EU0- Europe B2B KIIDS site.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
INC2255099,11 Jul 2024,LA0- South America Website,2,GIFS Polaris Team,Changes in data source endpoints and caching issues,"{'summary': 'Data retrieval issue due to endpoint changes in data source. Impact on LA0- South America Website due to caching.', 'resolution': 'Reverted changes and updated endpoints. Caching issues resolved after updates.', 'client_impact': 'Data unavailability impacted functionality of LA0- South America Website.'}","11:00 AM ET: Change in data source endpoints caused issues in LA0- South America Website.
11:15 PM ET: Caching expired, causing full impact.
2:00 AM ET: Issue reported to MIM. Initial troubleshooting started.
5:00 AM ET: Change reverted to restore service.
10:30 AM ET: Service restored, monitoring initiated."
Incident Number,Date of Incident,Application,Severity,Owner,Caused by Change,Incident Description,Timeline
INC2383000 + 0,14 Nov 2024,NL0 - Netherlands website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting NL0 - Netherlands website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of NL0 - Netherlands website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 1,02 Oct 2024,NL0 - Netherlands website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting NL0 - Netherlands website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of NL0 - Netherlands website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 2,17 Nov 2024,EU0 - Europe website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting EU0 - Europe website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of EU0 - Europe website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 3,14 Jan 2024,EU0 - Europe website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting EU0 - Europe website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of EU0 - Europe website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 4,27 Nov 2024,FA0 - France website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting FA0 - France website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of FA0 - France website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 5,30 Mar 2024,NL0 - Netherlands website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting NL0 - Netherlands website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of NL0 - Netherlands website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 6,01 Jan 2024,MX0 - Mexico website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting MX0 - Mexico website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of MX0 - Mexico website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 7,04 Sep 2024,UK2 - UK Professional website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting UK2 - UK Professional website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of UK2 - UK Professional website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 8,03 Dec 2024,FA0 - France website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting FA0 - France website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of FA0 - France website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 9,05 Dec 2024,EU0 - Europe website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting EU0 - Europe website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of EU0 - Europe website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 10,15 Jan 2024,FA0 - France website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting FA0 - France website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of FA0 - France website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 11,12 Nov 2024,UK2 - UK Professional website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting UK2 - UK Professional website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of UK2 - UK Professional website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 12,31 Mar 2024,MX0 - Mexico website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting MX0 - Mexico website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of MX0 - Mexico website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 13,11 Oct 2024,EU0 - Europe website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting EU0 - Europe website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of EU0 - Europe website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
INC2383000 + 14,27 Aug 2024,CH0 - Switzerland website,2,Sebastian Cousins,Akamai DNS failure,"{'summary': 'Intermittent DNS failures impacting CH0 - Switzerland website due to a known Akamai bug.', 'resolution': 'Implemented temporary fix with AWS Route 53; permanent solution pending from Akamai.', 'client_impact': 'Intermittent access issues for users of CH0 - Switzerland website.'}","1:35 PM ET: Multiple alerts for DNS failures received.
1:45 PM ET: Issue reproduced; no logs indicating request reached application.
2:00 PM ET: Engaged Akamai for DNS support.
2:20 PM ET: Akamai confirmed the symptoms are related to a known bug.
2:45 PM ET: Temporary fix applied using AWS Route 53 to reduce CNAME chain length.
3:34 PM ET: Temporary fix applied across all affected sites; monitoring initiated."
